date	region_code	confirmed_addition
2020-10-11	Blekinge	1
2020-10-10	Blekinge	15
2020-10-09	Blekinge	3
2020-10-08	Blekinge	23
2020-10-07	Blekinge	3
2020-10-06	Blekinge	14
2020-10-05	Blekinge	2
2020-10-04	Blekinge	4
2020-10-03	Blekinge	17
2020-10-02	Blekinge	7
2020-10-01	Blekinge	10
2020-09-30	Blekinge	15
2020-09-29	Blekinge	17
2020-09-28	Blekinge	2
2020-09-27	Blekinge	9
2020-09-26	Blekinge	1
2020-09-25	Blekinge	20
2020-09-24	Blekinge	4
2020-09-23	Blekinge	16
2020-09-22	Blekinge	12
2020-09-21	Blekinge	15
2020-09-20	Blekinge	1
2020-09-19	Blekinge	3
2020-09-18	Blekinge	0
2020-09-17	Blekinge	4
2020-09-16	Blekinge	1
2020-09-15	Blekinge	4
2020-09-14	Blekinge	1
2020-09-13	Blekinge	0
2020-09-12	Blekinge	0
2020-09-11	Blekinge	0
2020-09-10	Blekinge	0
2020-09-09	Blekinge	1
2020-09-08	Blekinge	3
2020-09-07	Blekinge	0
2020-09-06	Blekinge	1
2020-09-05	Blekinge	0
2020-09-04	Blekinge	1
2020-09-03	Blekinge	0
2020-09-02	Blekinge	0
2020-09-01	Blekinge	1
2020-08-31	Blekinge	0
2020-08-30	Blekinge	0
2020-08-29	Blekinge	2
2020-08-28	Blekinge	6
2020-08-27	Blekinge	1
2020-08-26	Blekinge	4
2020-08-25	Blekinge	2
2020-08-24	Blekinge	0
2020-08-23	Blekinge	0
2020-08-22	Blekinge	2
2020-08-21	Blekinge	3
2020-08-20	Blekinge	3
2020-08-19	Blekinge	11
2020-08-18	Blekinge	2
2020-08-17	Blekinge	1
2020-08-16	Blekinge	1
2020-08-15	Blekinge	4
2020-08-14	Blekinge	4
2020-08-13	Blekinge	9
2020-08-12	Blekinge	10
2020-08-11	Blekinge	11
2020-08-10	Blekinge	7
2020-08-09	Blekinge	1
2020-08-08	Blekinge	4
2020-08-07	Blekinge	9
2020-08-06	Blekinge	7
2020-08-05	Blekinge	2
2020-08-04	Blekinge	9
2020-08-03	Blekinge	1
2020-08-02	Blekinge	0
2020-08-01	Blekinge	1
2020-07-31	Blekinge	2
2020-07-30	Blekinge	2
2020-07-29	Blekinge	1
2020-07-28	Blekinge	4
2020-07-27	Blekinge	1
2020-07-26	Blekinge	0
2020-07-25	Blekinge	1
2020-07-24	Blekinge	1
2020-07-23	Blekinge	0
2020-07-22	Blekinge	1
2020-07-21	Blekinge	0
2020-07-20	Blekinge	0
2020-07-19	Blekinge	0
2020-07-18	Blekinge	1
2020-07-17	Blekinge	0
2020-07-16	Blekinge	2
2020-07-15	Blekinge	1
2020-07-14	Blekinge	2
2020-07-13	Blekinge	2
2020-07-12	Blekinge	0
2020-07-11	Blekinge	1
2020-07-10	Blekinge	0
2020-07-09	Blekinge	3
2020-07-08	Blekinge	2
2020-07-07	Blekinge	3
2020-07-06	Blekinge	2
2020-07-05	Blekinge	0
2020-07-04	Blekinge	0
2020-07-03	Blekinge	8
2020-07-02	Blekinge	3
2020-07-01	Blekinge	2
2020-06-30	Blekinge	3
2020-06-29	Blekinge	0
2020-06-28	Blekinge	2
2020-06-27	Blekinge	3
2020-06-26	Blekinge	3
2020-06-25	Blekinge	6
2020-06-24	Blekinge	5
2020-06-23	Blekinge	8
2020-06-22	Blekinge	0
2020-06-21	Blekinge	0
2020-06-20	Blekinge	4
2020-06-19	Blekinge	5
2020-06-18	Blekinge	6
2020-06-17	Blekinge	13
2020-06-16	Blekinge	7
2020-06-15	Blekinge	3
2020-06-14	Blekinge	10
2020-06-13	Blekinge	12
2020-06-12	Blekinge	14
2020-06-11	Blekinge	26
2020-06-10	Blekinge	1
2020-06-09	Blekinge	9
2020-06-08	Blekinge	10
2020-06-07	Blekinge	18
2020-06-06	Blekinge	5
2020-06-05	Blekinge	10
2020-06-04	Blekinge	10
2020-06-03	Blekinge	18
2020-06-02	Blekinge	18
2020-06-01	Blekinge	3
2020-05-31	Blekinge	7
2020-05-30	Blekinge	6
2020-05-29	Blekinge	10
2020-05-28	Blekinge	11
2020-05-27	Blekinge	19
2020-05-26	Blekinge	12
2020-05-25	Blekinge	3
2020-05-24	Blekinge	3
2020-05-23	Blekinge	2
2020-05-22	Blekinge	10
2020-05-21	Blekinge	0
2020-05-20	Blekinge	23
2020-05-19	Blekinge	6
2020-05-18	Blekinge	0
2020-05-17	Blekinge	1
2020-05-16	Blekinge	2
2020-05-15	Blekinge	6
2020-05-14	Blekinge	2
2020-05-13	Blekinge	3
2020-05-12	Blekinge	4
2020-05-11	Blekinge	0
2020-05-10	Blekinge	0
2020-05-09	Blekinge	1
2020-05-08	Blekinge	4
2020-05-07	Blekinge	2
2020-05-06	Blekinge	1
2020-05-05	Blekinge	3
2020-05-04	Blekinge	0
2020-05-03	Blekinge	0
2020-05-02	Blekinge	1
2020-05-01	Blekinge	0
2020-04-30	Blekinge	0
2020-04-29	Blekinge	6
2020-04-28	Blekinge	3
2020-04-27	Blekinge	0
2020-04-26	Blekinge	1
2020-04-25	Blekinge	0
2020-04-24	Blekinge	7
2020-04-23	Blekinge	2
2020-04-22	Blekinge	6
2020-04-21	Blekinge	4
2020-04-20	Blekinge	1
2020-04-19	Blekinge	0
2020-04-18	Blekinge	0
2020-04-17	Blekinge	0
2020-04-16	Blekinge	0
2020-04-15	Blekinge	0
2020-04-14	Blekinge	1
2020-04-13	Blekinge	0
2020-04-12	Blekinge	1
2020-04-11	Blekinge	0
2020-04-10	Blekinge	1
2020-04-09	Blekinge	1
2020-04-08	Blekinge	2
2020-04-07	Blekinge	1
2020-04-06	Blekinge	0
2020-04-05	Blekinge	1
2020-04-04	Blekinge	4
2020-04-03	Blekinge	1
2020-04-02	Blekinge	3
2020-04-01	Blekinge	5
2020-03-31	Blekinge	1
2020-03-30	Blekinge	0
2020-03-29	Blekinge	4
2020-03-28	Blekinge	0
2020-03-27	Blekinge	2
2020-03-26	Blekinge	0
2020-03-25	Blekinge	3
2020-03-24	Blekinge	0
2020-03-23	Blekinge	0
2020-03-22	Blekinge	0
2020-03-21	Blekinge	0
2020-03-20	Blekinge	0
2020-03-19	Blekinge	0
2020-03-18	Blekinge	1
2020-03-17	Blekinge	1
2020-03-16	Blekinge	0
2020-03-15	Blekinge	1
2020-03-14	Blekinge	0
2020-03-13	Blekinge	0
2020-03-12	Blekinge	2
2020-03-11	Blekinge	6
2020-03-10	Blekinge	1
2020-03-09	Blekinge	0
2020-03-08	Blekinge	0
2020-03-07	Blekinge	0
2020-03-06	Blekinge	0
2020-03-05	Blekinge	0
2020-03-04	Blekinge	0
2020-03-03	Blekinge	0
2020-03-02	Blekinge	0
2020-03-01	Blekinge	0
2020-02-29	Blekinge	0
2020-02-28	Blekinge	0
2020-02-27	Blekinge	0
2020-02-26	Blekinge	0
2020-02-25	Blekinge	0
2020-02-24	Blekinge	0
2020-02-23	Blekinge	0
2020-02-22	Blekinge	0
2020-02-21	Blekinge	0
2020-02-20	Blekinge	0
2020-02-19	Blekinge	0
2020-02-18	Blekinge	0
2020-02-17	Blekinge	0
2020-02-16	Blekinge	0
2020-02-15	Blekinge	0
2020-02-14	Blekinge	0
2020-02-13	Blekinge	0
2020-02-12	Blekinge	0
2020-02-11	Blekinge	0
2020-02-10	Blekinge	0
2020-02-09	Blekinge	0
2020-02-08	Blekinge	0
2020-02-07	Blekinge	0
2020-02-06	Blekinge	0
2020-02-05	Blekinge	0
2020-02-04	Blekinge	0
2021-02-18	Dalarna	78
2021-02-17	Dalarna	59
2021-02-16	Dalarna	96
2021-02-15	Dalarna	10
2021-02-14	Dalarna	4
2021-02-13	Dalarna	62
2021-02-12	Dalarna	41
2021-02-11	Dalarna	67
2021-02-10	Dalarna	61
2021-02-09	Dalarna	93
2021-02-08	Dalarna	4
2021-02-07	Dalarna	9
2021-02-06	Dalarna	59
2021-02-05	Dalarna	30
2021-02-04	Dalarna	60
2021-02-03	Dalarna	49
2021-02-02	Dalarna	91
2021-02-01	Dalarna	9
2021-01-31	Dalarna	6
2021-01-30	Dalarna	56
2021-01-29	Dalarna	48
2021-01-28	Dalarna	53
2021-01-27	Dalarna	51
2021-01-26	Dalarna	118
2021-01-25	Dalarna	10
2021-01-24	Dalarna	14
2021-01-23	Dalarna	72
2021-01-22	Dalarna	58
2021-01-21	Dalarna	93
2021-01-20	Dalarna	91
2021-01-19	Dalarna	157
2021-01-18	Dalarna	26
2021-01-17	Dalarna	7
2021-01-16	Dalarna	87
2021-01-15	Dalarna	101
2021-01-14	Dalarna	110
2021-01-13	Dalarna	102
2021-01-12	Dalarna	189
2021-01-11	Dalarna	12
2021-01-10	Dalarna	15
2021-01-09	Dalarna	124
2021-01-08	Dalarna	154
2021-01-07	Dalarna	24
2021-01-06	Dalarna	133
2021-01-05	Dalarna	236
2021-01-04	Dalarna	28
2021-01-03	Dalarna	211
2021-01-02	Dalarna	9
2021-01-01	Dalarna	20
2020-12-31	Dalarna	188
2020-12-30	Dalarna	209
2020-12-29	Dalarna	307
2020-12-28	Dalarna	43
2020-12-27	Dalarna	212
2020-12-26	Dalarna	20
2020-12-25	Dalarna	40
2020-12-24	Dalarna	137
2020-12-23	Dalarna	246
2020-12-22	Dalarna	295
2020-12-21	Dalarna	25
2020-12-20	Dalarna	30
2020-12-19	Dalarna	139
2020-12-18	Dalarna	176
2020-12-17	Dalarna	217
2020-12-16	Dalarna	271
2020-12-15	Dalarna	285
2020-12-14	Dalarna	17
2020-12-13	Dalarna	47
2020-12-12	Dalarna	170
2020-12-11	Dalarna	264
2020-12-10	Dalarna	70
2020-12-09	Dalarna	224
2020-12-08	Dalarna	216
2020-12-07	Dalarna	28
2020-12-06	Dalarna	41
2020-12-05	Dalarna	114
2020-12-04	Dalarna	153
2020-12-03	Dalarna	147
2020-12-02	Dalarna	208
2020-12-01	Dalarna	87
2020-11-30	Dalarna	89
2020-11-29	Dalarna	100
2020-11-28	Dalarna	98
2020-11-27	Dalarna	89
2020-11-26	Dalarna	130
2020-11-25	Dalarna	166
2020-11-24	Dalarna	103
2020-11-23	Dalarna	111
2020-11-22	Dalarna	33
2020-11-21	Dalarna	104
2020-11-20	Dalarna	79
2020-11-19	Dalarna	206
2020-11-18	Dalarna	87
2020-11-17	Dalarna	74
2020-11-16	Dalarna	49
2020-11-15	Dalarna	80
2020-11-14	Dalarna	109
2020-11-13	Dalarna	85
2020-11-12	Dalarna	181
2020-11-11	Dalarna	92
2020-11-10	Dalarna	117
2020-11-09	Dalarna	27
2020-11-08	Dalarna	71
2020-11-07	Dalarna	94
2020-11-06	Dalarna	130
2020-11-05	Dalarna	112
2020-11-04	Dalarna	70
2020-11-03	Dalarna	123
2020-11-02	Dalarna	21
2020-11-01	Dalarna	44
2020-10-31	Dalarna	62
2020-10-30	Dalarna	73
2020-10-29	Dalarna	106
2020-10-28	Dalarna	74
2020-10-27	Dalarna	75
2020-10-26	Dalarna	10
2020-10-25	Dalarna	3
2020-10-24	Dalarna	37
2020-10-23	Dalarna	49
2020-10-22	Dalarna	47
2020-10-21	Dalarna	22
2020-10-20	Dalarna	52
2020-10-19	Dalarna	3
2020-10-18	Dalarna	1
2020-10-17	Dalarna	32
2020-10-16	Dalarna	27
2020-10-15	Dalarna	24
2020-10-14	Dalarna	37
2020-10-13	Dalarna	10
2020-10-12	Dalarna	30
2020-10-11	Dalarna	0
2020-10-10	Dalarna	15
2020-10-09	Dalarna	13
2020-10-08	Dalarna	16
2020-10-07	Dalarna	32
2020-10-06	Dalarna	7
2020-10-05	Dalarna	1
2020-10-04	Dalarna	11
2020-10-03	Dalarna	14
2020-10-02	Dalarna	24
2020-10-01	Dalarna	21
2020-09-30	Dalarna	23
2020-09-29	Dalarna	4
2020-09-28	Dalarna	4
2020-09-27	Dalarna	6
2020-09-26	Dalarna	11
2020-09-25	Dalarna	17
2020-09-24	Dalarna	13
2020-09-23	Dalarna	15
2020-09-22	Dalarna	20
2020-09-21	Dalarna	6
2020-09-20	Dalarna	26
2020-09-19	Dalarna	18
2020-09-18	Dalarna	33
2020-09-17	Dalarna	18
2020-09-16	Dalarna	24
2020-09-15	Dalarna	27
2020-09-14	Dalarna	18
2020-09-13	Dalarna	8
2020-09-12	Dalarna	16
2020-09-11	Dalarna	9
2020-09-10	Dalarna	15
2020-09-09	Dalarna	16
2020-09-08	Dalarna	11
2020-09-07	Dalarna	4
2020-09-06	Dalarna	3
2020-09-05	Dalarna	5
2020-09-04	Dalarna	6
2020-09-03	Dalarna	11
2020-09-02	Dalarna	13
2020-09-01	Dalarna	13
2020-08-31	Dalarna	6
2020-08-30	Dalarna	4
2020-08-29	Dalarna	11
2020-08-28	Dalarna	7
2020-08-27	Dalarna	11
2020-08-26	Dalarna	8
2020-08-25	Dalarna	10
2020-08-24	Dalarna	5
2020-08-23	Dalarna	4
2020-08-22	Dalarna	4
2020-08-21	Dalarna	9
2020-08-20	Dalarna	5
2020-08-19	Dalarna	7
2020-08-18	Dalarna	8
2020-08-17	Dalarna	5
2020-08-16	Dalarna	1
2020-08-15	Dalarna	2
2020-08-14	Dalarna	8
2020-08-13	Dalarna	10
2020-08-12	Dalarna	6
2020-08-11	Dalarna	5
2020-08-10	Dalarna	4
2020-08-09	Dalarna	6
2020-08-08	Dalarna	6
2020-08-07	Dalarna	4
2020-08-06	Dalarna	9
2020-08-05	Dalarna	15
2020-08-04	Dalarna	8
2020-08-03	Dalarna	0
2020-08-02	Dalarna	1
2020-08-01	Dalarna	4
2020-07-31	Dalarna	11
2020-07-30	Dalarna	4
2020-07-29	Dalarna	3
2020-07-28	Dalarna	3
2020-07-27	Dalarna	1
2020-07-26	Dalarna	0
2020-07-25	Dalarna	2
2020-07-24	Dalarna	8
2020-07-23	Dalarna	4
2020-07-22	Dalarna	4
2020-07-21	Dalarna	11
2020-07-20	Dalarna	1
2020-07-19	Dalarna	5
2020-07-18	Dalarna	9
2020-07-17	Dalarna	5
2020-07-16	Dalarna	9
2020-07-15	Dalarna	1
2020-07-14	Dalarna	11
2020-07-13	Dalarna	12
2020-07-12	Dalarna	0
2020-07-11	Dalarna	5
2020-07-10	Dalarna	6
2020-07-09	Dalarna	13
2020-07-08	Dalarna	23
2020-07-07	Dalarna	9
2020-07-06	Dalarna	2
2020-07-05	Dalarna	25
2020-07-04	Dalarna	14
2020-07-03	Dalarna	25
2020-07-02	Dalarna	46
2020-07-01	Dalarna	32
2020-06-30	Dalarna	33
2020-06-29	Dalarna	3
2020-06-28	Dalarna	3
2020-06-27	Dalarna	31
2020-06-26	Dalarna	34
2020-06-25	Dalarna	29
2020-06-24	Dalarna	30
2020-06-23	Dalarna	29
2020-06-22	Dalarna	11
2020-06-21	Dalarna	3
2020-06-20	Dalarna	5
2020-06-19	Dalarna	20
2020-06-18	Dalarna	16
2020-06-17	Dalarna	6
2020-06-16	Dalarna	7
2020-06-15	Dalarna	3
2020-06-14	Dalarna	4
2020-06-13	Dalarna	6
2020-06-12	Dalarna	13
2020-06-11	Dalarna	9
2020-06-10	Dalarna	17
2020-06-09	Dalarna	17
2020-06-08	Dalarna	9
2020-06-07	Dalarna	6
2020-06-06	Dalarna	16
2020-06-05	Dalarna	20
2020-06-04	Dalarna	13
2020-06-03	Dalarna	14
2020-06-02	Dalarna	23
2020-06-01	Dalarna	7
2020-05-31	Dalarna	5
2020-05-30	Dalarna	15
2020-05-29	Dalarna	10
2020-05-28	Dalarna	16
2020-05-27	Dalarna	16
2020-05-26	Dalarna	18
2020-05-25	Dalarna	3
2020-05-24	Dalarna	7
2020-05-23	Dalarna	13
2020-05-22	Dalarna	5
2020-05-21	Dalarna	17
2020-05-20	Dalarna	31
2020-05-19	Dalarna	2
2020-05-18	Dalarna	9
2020-05-17	Dalarna	17
2020-05-16	Dalarna	1
2020-05-15	Dalarna	10
2020-05-14	Dalarna	15
2020-05-13	Dalarna	21
2020-05-12	Dalarna	18
2020-05-11	Dalarna	3
2020-05-10	Dalarna	4
2020-05-09	Dalarna	11
2020-05-08	Dalarna	16
2020-05-07	Dalarna	19
2020-05-06	Dalarna	22
2020-05-05	Dalarna	28
2020-05-04	Dalarna	64
2020-05-03	Dalarna	3
2020-05-02	Dalarna	1
2020-05-01	Dalarna	2
2020-04-30	Dalarna	14
2020-04-29	Dalarna	52
2020-04-28	Dalarna	35
2020-04-27	Dalarna	8
2020-04-26	Dalarna	5
2020-04-25	Dalarna	45
2020-04-24	Dalarna	29
2020-04-23	Dalarna	41
2020-04-22	Dalarna	33
2020-04-21	Dalarna	35
2020-04-20	Dalarna	10
2020-04-19	Dalarna	8
2020-04-18	Dalarna	27
2020-04-17	Dalarna	26
2020-04-16	Dalarna	25
2020-04-15	Dalarna	28
2020-04-14	Dalarna	12
2020-04-13	Dalarna	12
2020-04-12	Dalarna	31
2020-04-11	Dalarna	9
2020-04-10	Dalarna	17
2020-04-09	Dalarna	30
2020-04-08	Dalarna	28
2020-04-07	Dalarna	28
2020-04-06	Dalarna	16
2020-04-05	Dalarna	7
2020-04-04	Dalarna	18
2020-04-03	Dalarna	20
2020-04-02	Dalarna	6
2020-04-01	Dalarna	19
2020-03-31	Dalarna	23
2020-03-30	Dalarna	9
2020-03-29	Dalarna	10
2020-03-28	Dalarna	6
2020-03-27	Dalarna	15
2020-03-26	Dalarna	8
2020-03-25	Dalarna	13
2020-03-24	Dalarna	9
2020-03-23	Dalarna	9
2020-03-22	Dalarna	5
2020-03-21	Dalarna	0
2020-03-20	Dalarna	5
2020-03-19	Dalarna	2
2020-03-18	Dalarna	2
2020-03-17	Dalarna	3
2020-03-16	Dalarna	0
2020-03-15	Dalarna	0
2020-03-14	Dalarna	0
2020-03-13	Dalarna	1
2020-03-12	Dalarna	3
2020-03-11	Dalarna	1
2020-03-10	Dalarna	0
2020-03-09	Dalarna	0
2020-03-08	Dalarna	0
2020-03-07	Dalarna	0
2020-03-06	Dalarna	0
2020-03-05	Dalarna	0
2020-03-04	Dalarna	0
2020-03-03	Dalarna	0
2020-03-02	Dalarna	0
2020-03-01	Dalarna	0
2020-02-29	Dalarna	0
2020-02-28	Dalarna	0
2020-02-27	Dalarna	0
2020-02-26	Dalarna	0
2020-02-25	Dalarna	0
2020-02-24	Dalarna	0
2020-02-23	Dalarna	0
2020-02-22	Dalarna	0
2020-02-21	Dalarna	0
2020-02-20	Dalarna	0
2020-02-19	Dalarna	0
2020-02-18	Dalarna	0
2020-02-17	Dalarna	0
2020-02-16	Dalarna	0
2020-02-15	Dalarna	0
2020-02-14	Dalarna	0
2020-02-13	Dalarna	0
2020-02-12	Dalarna	0
2020-02-11	Dalarna	0
2020-02-10	Dalarna	0
2020-02-09	Dalarna	0
2020-02-08	Dalarna	0
2020-02-07	Dalarna	0
2020-02-06	Dalarna	0
2020-02-05	Dalarna	0
2020-02-04	Dalarna	0
2021-02-18	Gotland	3
2021-02-17	Gotland	3
2021-02-16	Gotland	2
2021-02-15	Gotland	0
2021-02-14	Gotland	0
2021-02-13	Gotland	3
2021-02-12	Gotland	4
2021-02-11	Gotland	7
2021-02-10	Gotland	11
2021-02-09	Gotland	1
2021-02-08	Gotland	1
2021-02-07	Gotland	2
2021-02-06	Gotland	1
2021-02-05	Gotland	0
2021-02-04	Gotland	8
2021-02-03	Gotland	3
2021-02-02	Gotland	5
2021-02-01	Gotland	0
2021-01-31	Gotland	0
2021-01-30	Gotland	10
2021-01-29	Gotland	0
2021-01-28	Gotland	5
2021-01-27	Gotland	6
2021-01-26	Gotland	10
2021-01-25	Gotland	0
2021-01-24	Gotland	1
2021-01-23	Gotland	16
2021-01-22	Gotland	4
2021-01-21	Gotland	12
2021-01-20	Gotland	9
2021-01-19	Gotland	13
2021-01-18	Gotland	2
2021-01-17	Gotland	1
2021-01-16	Gotland	13
2021-01-15	Gotland	10
2021-01-14	Gotland	23
2021-01-13	Gotland	11
2021-01-12	Gotland	25
2021-01-11	Gotland	0
2021-01-10	Gotland	5
2021-01-09	Gotland	30
2021-01-08	Gotland	31
2021-01-07	Gotland	3
2021-01-06	Gotland	24
2021-01-05	Gotland	36
2021-01-04	Gotland	23
2021-01-03	Gotland	7
2021-01-02	Gotland	9
2021-01-01	Gotland	20
2020-12-31	Gotland	29
2020-12-30	Gotland	23
2020-12-29	Gotland	18
2020-12-28	Gotland	9
2020-12-27	Gotland	15
2020-12-26	Gotland	8
2020-12-25	Gotland	9
2020-12-24	Gotland	32
2020-12-23	Gotland	19
2020-12-22	Gotland	34
2020-12-21	Gotland	4
2020-12-20	Gotland	30
2020-12-19	Gotland	7
2020-12-18	Gotland	75
2020-12-17	Gotland	11
2020-12-16	Gotland	30
2020-12-15	Gotland	36
2020-12-14	Gotland	7
2020-12-13	Gotland	100
2020-12-12	Gotland	12
2020-12-11	Gotland	18
2020-12-10	Gotland	62
2020-12-09	Gotland	31
2020-12-08	Gotland	10
2020-12-07	Gotland	2
2020-12-06	Gotland	34
2020-12-05	Gotland	91
2020-12-04	Gotland	30
2020-12-03	Gotland	19
2020-12-02	Gotland	24
2020-12-01	Gotland	50
2020-11-30	Gotland	72
2020-11-29	Gotland	60
2020-11-28	Gotland	11
2020-11-27	Gotland	27
2020-11-26	Gotland	13
2020-11-25	Gotland	92
2020-11-24	Gotland	17
2020-11-23	Gotland	12
2020-11-22	Gotland	44
2020-11-21	Gotland	24
2020-11-20	Gotland	13
2020-11-19	Gotland	26
2020-11-18	Gotland	20
2020-11-17	Gotland	29
2020-11-16	Gotland	17
2020-11-15	Gotland	31
2020-11-14	Gotland	46
2020-11-13	Gotland	34
2020-11-12	Gotland	30
2020-11-11	Gotland	16
2020-11-10	Gotland	36
2020-11-09	Gotland	40
2020-11-08	Gotland	44
2020-11-07	Gotland	7
2020-11-06	Gotland	49
2020-11-05	Gotland	43
2020-11-04	Gotland	9
2020-11-03	Gotland	4
2020-11-02	Gotland	30
2020-11-01	Gotland	18
2020-10-31	Gotland	25
2020-10-30	Gotland	15
2020-10-29	Gotland	1
2020-10-28	Gotland	8
2020-10-27	Gotland	1
2020-10-26	Gotland	0
2020-10-25	Gotland	8
2020-10-24	Gotland	9
2020-10-23	Gotland	7
2020-10-22	Gotland	2
2020-10-21	Gotland	4
2020-10-20	Gotland	3
2020-10-19	Gotland	0
2020-10-18	Gotland	0
2020-10-17	Gotland	1
2020-10-16	Gotland	6
2020-10-15	Gotland	0
2020-10-14	Gotland	0
2020-10-13	Gotland	2
2020-10-12	Gotland	5
2020-10-11	Gotland	0
2020-10-10	Gotland	5
2020-10-09	Gotland	4
2020-10-08	Gotland	2
2020-10-07	Gotland	1
2020-10-06	Gotland	2
2020-10-05	Gotland	1
2020-10-04	Gotland	2
2020-10-03	Gotland	1
2020-10-02	Gotland	3
2020-10-01	Gotland	3
2020-09-30	Gotland	7
2020-09-29	Gotland	0
2020-09-28	Gotland	0
2020-09-27	Gotland	1
2020-09-26	Gotland	0
2020-09-25	Gotland	2
2020-09-24	Gotland	0
2020-09-23	Gotland	0
2020-09-22	Gotland	0
2020-09-21	Gotland	0
2020-09-20	Gotland	0
2020-09-19	Gotland	1
2020-09-18	Gotland	2
2020-09-17	Gotland	0
2020-09-16	Gotland	1
2020-09-15	Gotland	0
2020-09-14	Gotland	1
2020-09-13	Gotland	0
2020-09-12	Gotland	0
2020-09-11	Gotland	0
2020-09-10	Gotland	2
2020-09-09	Gotland	1
2020-09-08	Gotland	0
2020-09-07	Gotland	0
2020-09-06	Gotland	0
2020-09-05	Gotland	0
2020-09-04	Gotland	1
2020-09-03	Gotland	0
2020-09-02	Gotland	0
2020-09-01	Gotland	0
2020-08-31	Gotland	0
2020-08-30	Gotland	0
2020-08-29	Gotland	0
2020-08-28	Gotland	0
2020-08-27	Gotland	3
2020-08-26	Gotland	0
2020-08-25	Gotland	0
2020-08-24	Gotland	0
2020-08-23	Gotland	1
2020-08-22	Gotland	0
